Percentage served,Time in ms
0,586.623
1,14858.417
2,14869.161
3,14875.908
4,14882.582
5,14891.048
6,14898.294
7,14904.149
8,14971.610
9,30756.307
10,30771.742
11,30784.112
12,30791.347
13,30855.544
14,30865.192
15,30880.609
16,30884.738
17,45661.398
18,45703.267
19,45709.392
20,45719.349
21,45722.159
22,45726.350
23,45741.639
24,45758.687
25,61942.076
26,61962.496
27,61978.460
28,61987.715
29,62029.079
30,62040.942
31,62100.396
32,62103.202
33,73787.688
34,77383.237
35,77395.038
36,77424.955
37,77443.730
38,77454.448
39,77466.273
40,77471.545
41,77510.351
42,88456.797
43,92269.666
44,92904.223
45,92933.519
46,92946.158
47,92986.160
48,93016.129
49,93047.595
50,93058.163
51,93442.296
52,93459.597
53,93490.051
54,93512.216
55,93515.365
56,93532.112
57,93540.982
58,93574.647
59,93589.875
60,93597.485
61,93601.978
62,93606.854
63,93613.846
64,93619.609
65,93622.681
66,93636.227
67,93662.967
68,93671.565
69,93679.451
70,93683.354
71,93688.545
72,93693.961
73,93714.639
74,94465.815
75,94775.836
76,94787.604
77,94802.944
78,94808.669
79,94834.845
80,94845.715
81,94855.033
82,94861.040
83,94875.805
84,94885.085
85,94892.203
86,94897.735
87,94903.702
88,94906.340
89,94921.695
90,95013.310
91,95029.799
92,95039.416
93,95046.453
94,95068.411
95,95086.534
96,95097.380
97,95221.835
98,96748.041
99,109037.943
100,110729.464
