Percentage served,Time in ms
0,438.755
1,2819.852
2,12251.034
3,12258.082
4,12262.105
5,12264.117
6,12266.593
7,12268.669
8,12296.055
9,14775.966
10,24717.175
11,24718.394
12,24719.886
13,24720.731
14,24727.999
15,24730.732
16,24812.610
17,26843.094
18,28444.767
19,29154.307
20,29180.862
21,29205.378
22,29233.234
23,29239.657
24,29245.578
25,29255.237
26,31454.039
27,31465.510
28,31481.954
29,31773.368
30,32703.996
31,32712.132
32,32715.733
33,32724.640
34,32756.477
35,32787.761
36,32821.458
37,33088.214
38,33377.858
39,33559.235
40,33596.476
41,33615.896
42,33627.759
43,33636.956
44,33639.979
45,33655.030
46,33677.629
47,33710.433
48,33718.834
49,33724.395
50,33731.949
51,33735.562
52,33740.024
53,33745.371
54,33756.298
55,33765.699
56,33783.368
57,33796.853
58,33831.101
59,33848.227
60,33856.271
61,33862.476
62,33870.011
63,33875.656
64,33884.868
65,33908.675
66,33914.630
67,33924.730
68,33932.264
69,33940.592
70,33956.976
71,33966.099
72,33967.764
73,33974.222
74,33980.569
75,33985.455
76,33991.361
77,34002.421
78,34012.504
79,34026.126
80,34038.114
81,34066.349
82,34572.444
83,34814.614
84,34836.844
85,34855.030
86,34865.682
87,34899.746
88,34932.820
89,34952.467
90,34965.763
91,34983.364
92,34993.755
93,34998.662
94,35004.986
95,35014.839
96,35023.746
97,36812.026
98,41658.544
99,41665.633
100,41669.825
