Percentage served,Time in ms
0,656.792
1,656.792
2,656.792
3,658.541
4,658.541
5,672.718
6,704.258
7,791.259
8,839.232
9,896.228
10,978.298
11,1057.563
12,1101.293
13,1194.715
14,1238.689
15,1339.262
16,1394.446
17,1459.717
18,1510.799
19,1564.327
20,1643.511
21,1726.191
22,1775.713
23,1829.195
24,1916.591
25,2012.336
26,2050.171
27,2115.306
28,2161.399
29,2212.177
30,2308.118
31,2377.820
32,2491.195
33,2574.506
34,2626.310
35,2695.134
36,2740.085
37,2798.013
38,2859.041
39,2930.406
40,2993.805
41,3096.322
42,3159.499
43,3228.463
44,3301.429
45,3363.851
46,3415.979
47,3482.878
48,3514.085
49,3591.445
50,3654.395
51,3699.199
52,3750.807
53,3771.930
54,3823.118
55,3872.631
56,3913.341
57,3943.215
58,4006.599
59,4117.486
60,4263.807
61,4337.274
62,4377.906
63,4474.413
64,4513.594
65,4574.282
66,4617.049
67,4681.567
68,4729.094
69,4785.237
70,4817.125
71,4939.449
72,4986.955
73,5014.362
74,5034.216
75,5145.251
76,5193.484
77,5239.717
78,5310.749
79,5341.082
80,5432.678
81,5533.594
82,5561.295
83,5623.011
84,5717.160
85,5771.019
86,5834.535
87,5919.344
88,5972.791
89,6019.114
90,6107.114
91,6164.308
92,6260.864
93,6330.199
94,6358.085
95,6402.626
96,6437.872
97,6477.614
98,6487.598
99,6504.432
100,6533.743
