Percentage served,Time in ms
0,1268.608
1,2443.553
2,2495.587
3,2518.734
4,2541.415
5,2559.906
6,2906.303
7,3160.216
8,3848.494
9,4428.645
10,7451.374
11,7703.921
12,8168.264
13,8194.130
14,8199.703
15,8208.011
16,8245.477
17,8253.902
18,8255.038
19,8259.687
20,8261.062
21,8271.762
22,8280.700
23,8283.685
24,8324.829
25,8327.204
26,8330.471
27,8332.377
28,8334.203
29,8347.441
30,8349.217
31,8352.230
32,8367.576
33,8368.192
34,8369.046
35,8389.825
36,8392.836
37,8397.727
38,8399.712
39,8402.619
40,8405.089
41,8406.598
42,8407.238
43,8408.927
44,8410.379
45,8411.084
46,8412.088
47,8413.628
48,8414.792
49,8417.468
50,8426.191
51,8427.550
52,8429.259
53,8431.401
54,8433.526
55,8452.165
56,8465.765
57,8467.192
58,8475.381
59,8476.385
60,8489.278
61,8494.161
62,8497.349
63,8498.798
64,8500.243
65,8500.617
66,8509.220
67,8514.946
68,8516.163
69,8518.639
70,8519.516
71,8532.380
72,8534.840
73,8537.910
74,8550.517
75,8552.668
76,8577.498
77,8580.511
78,8591.900
79,8609.750
80,8611.272
81,8636.605
82,8639.377
83,8657.968
84,8693.968
85,8696.015
86,8703.475
87,8704.473
88,8855.262
89,8982.407
90,8983.126
91,10252.889
92,13349.508
93,13546.535
94,13912.231
95,14046.582
96,14260.938
97,14375.249
98,14461.221
99,14531.957
100,14732.804
