Percentage served,Time in ms
0,1050.198
1,16856.627
2,16878.035
3,16889.073
4,16901.854
5,16913.531
6,16920.671
7,16929.465
8,16963.074
9,33856.392
10,33874.817
11,33889.208
12,33902.437
13,33913.506
14,33924.986
15,33929.316
16,33939.439
17,49910.945
18,49944.180
19,49956.484
20,49972.858
21,49984.693
22,49995.731
23,50007.016
24,50021.912
25,54125.009
26,66855.822
27,66878.847
28,66892.115
29,66897.707
30,66911.277
31,66923.996
32,66938.805
33,67229.079
34,82535.778
35,82562.995
36,82582.787
37,82595.170
38,82601.207
39,82617.663
40,82635.321
41,85926.247
42,97619.730
43,97631.121
44,97653.954
45,97692.787
46,97712.644
47,97759.989
48,98168.135
49,101682.225
50,113266.035
51,113274.877
52,113286.685
53,113291.264
54,113302.901
55,113318.720
56,113338.487
57,117368.244
58,129043.690
59,129076.284
60,129094.460
61,129101.658
62,129128.759
63,129148.899
64,129180.397
65,133286.330
66,144753.447
67,144778.792
68,144783.621
69,144791.895
70,144804.222
71,144855.022
72,144909.808
73,149116.564
74,160851.794
75,160856.702
76,160868.930
77,160881.173
78,160895.891
79,160903.927
80,160917.744
81,165052.205
82,176587.181
83,176602.245
84,176642.648
85,176662.183
86,176670.296
87,176707.159
88,176735.989
89,180606.050
90,192333.290
91,192344.376
92,192355.732
93,192360.109
94,192363.375
95,192367.878
96,192371.929
97,194961.518
98,199081.513
99,199112.829
100,199114.836
